
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              新建
codex_options_dspenabled				啟用 DSP
codex_options_11khz						11025 Hz
codex_options_22khz						22050 Hz
codex_options_44khz						44100 Hz

codex_options_clocktype                 時鐘類型
codex_options_clocktype_analogue        指針
codex_options_clocktype_12h             12小時制
codex_options_clocktype_24h             24小時制

codex_options_gameplay					遊戲
codex_options_autosave					自動存檔間隔
codex_options_renderrooms				房間方格顯示
codex_options_apply						套用

codex_options_language					語言 (Language)

codex_enabled                           啟用
codex_disabled                          停用

codex_option_intake                     持續收容新囚犯
codex_tooltip_intake                    如果勾選此項，你的監獄每天會收到隨機數量的新囚犯...直到永遠。\n\n如果沒勾選此項，你可以到監獄報告的囚犯頁面，自行決定何時要接收多少新囚犯。
codex_option_fogofwar                   戰場迷霧
codex_tooltip_fogofwar                  除非有警衛巡邏或是有閉路監視器在區域內，否則你將無法看見監獄內的狀況。
codex_option_lakes                      產生湖泊
codex_tooltip_lakes                     隨機的湖泊會擋住某些土地。警告: 實驗性功能。
codex_option_forests                    產生森林
codex_tooltip_forests                   土地上會出現樹林。
codex_option_buildings                  產生建築物
codex_tooltip_buildings                 隨機的建築遺跡會出現在土地上，如果想要的話可以使用。
codex_option_failure                    失敗條件
codex_tooltip_failure                   額外的挑戰！如果監獄狀況太差的話 (暴動、破產、太多死亡或逃獄等等) 你將會被解雇，遊戲就會結束。
codex_option_unlimitedfunds             無限資金
codex_tooltip_unlimitedfunds            純沙盒模式！一開始就可以隨意花錢，不需要擔心或是等待賺錢。
codex_option_gangs                      幫派
codex_tooltip_gangs                     某些囚犯在入監時就帶有幫派色彩，\n當看到敵對幫派的成員時就會立刻攻擊，額外的挑戰。

codex_option_funds                      起始資金
codex_tooltip_funds                     你一開始就會有這麼多資金在你的銀行裡，\n在監獄報告的評估頁面出售你之前的監獄來賺取更多起始資金。

codex_transfer							移送
codex_transferring						移送中
codex_in_prison							目前已收容
codex_useravatar                        這是我
codex_tooltip_useravatar                標記這個囚犯就是你，如果你哪天入獄了，這個囚犯就是你的寫照。
codex_tooltip_flagbio                   檢舉這個生平介紹令人產生反感或是冒犯。

codex_workshop_current					目前監獄
codex_workshop_publish					發佈這個監獄
codex_workshop_update					更新
codex_workshop_play						進行遊戲
codex_workshop_downloading				下載中
codex_workshop_download_failed			下載失敗
codex_workshop_publishing				發佈中...
codex_workshop_new						新建
codex_workshop_title					標題
codex_workshop_desc						說明
codex_workshop_view_in_workshop			在 Steam 工作坊中檢視
codex_workshop_heading_pubed			你發佈過的監獄
codex_workshop_heading_subed			訂閱的監獄
codex_workshop_published_by				由 *P 發佈
codex_workshop_published_by_you			由你發佈
codex_workshop_published_good			監獄已發佈
codex_workshop_published_good_msg		你的監獄已經成功發佈。
codex_workshop_published_bad			發佈失敗
codex_workshop_published_bad_msg		你的監獄發佈失敗。
codex_workshop_published_bad_msg_new	你的新監獄發佈失敗，請再試一次。
codex_workshop_busy						Steam 正在進行某些神秘的魔法儀式，請等待完成後再試一次。
codex_workshop_file_exists				你已經用這個名字發佈過監獄，請換一個名字。
codex_workshop_generic_fail				發佈監獄失敗，請再試一次。
codex_workshop_download_bad				下載監獄失敗
codex_workshop_pa_workshop				開啟監獄建築師 (Prison Architect) 工作坊
codex_workshop_agreement				發佈同時代表你同意 [url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]Steam 工作坊的服務條款[/url]。

codex_options_timelapse					定時拍攝錄影 (Time Lapse)
codex_timelapse_record					開始定時拍攝錄影
codex_timelapse_stop					停止拍攝錄影
codex_timelapse_camera					攝影機模式
codex_timelapse_resolution				解析度
codex_timelapse_customresw				自訂解析度 寬
codex_timelapse_customresh				自訂解析度 高
codex_timelapse_resolution				解析度
codex_timelapse_fps						重播速率
codex_timelapse_interval				拍攝間隔
codex_timelapse_quality					品質
codex_timelapse_unsupported				你的硬體不支援這項功能
codex_timelapse_savesettings			儲存設定

codex_timelapse_cam_zoom                縮放攝影機
codex_timelapse_cam_fitmap              符合全地圖
codex_timelapse_cam_fitheight           符合地圖高度
codex_timelapse_cam_fitwidth            符合地圖寬度
codex_timelapse_fps_value               *X FPS
codex_timelapse_quality_high            高
codex_timelapse_quality_med             中
codex_timelapse_quality_low             低
codex_timelapse_interval_value          遊戲內的 *X 分鐘

codex_performance_running				效能測試
codex_performance_time					剩餘時間: *T秒
codex_performance_current				目前畫格時間: *T毫秒
codex_performance_min					最小畫格時間: *T毫秒
codex_performance_avg					平均畫格時間: *T毫秒
codex_performance_max					最大畫格時間: *T毫秒
codex_performance_numframes				畫格數: *T

codex_last_modified						最後修改: *T
codex_sortbydesc						依照日期排序
codex_sortname							名稱
codex_sortdate							日期
codex_apply								套用
codex_select                            選擇

codex_mods								模組
codex_mod_activetitle					已啟用模組
codex_mod_inactivetitle					可用模組
codex_mod_deactivate					停用所有模組
codex_mod_wiki							尋找更多模組 (Wiki)
codex_mod_openmodsfolder				開啟模組資料夾
codex_mod_moresteammods					尋找更多模組 (Steam工作坊)
codex_mod_findsteamtranslations         尋找更多翻譯模組 (Steam工作坊)
codex_authortitle                       作者
codex_versiontitle                      版本
codex_datetitle                         日期
codex_urltitle                          網址
codex_typetitle							類型
codex_mod_graphicsandsound				畫質與音效
codex_mod_translation					語言翻譯
codex_mod_scenario						場景故事
codex_mod_content						擴充內容
codex_mod_load_scenario					開始玩場景故事
codex_publishmod						發佈模組

codex_mod_update						更新模組
codex_mod_published_good				模組已發佈
codex_mod_published_good_msg			你的模組已經成功發佈。
codex_mod_published_bad					發佈模組失敗
codex_mod_published_bad_msg				你的模組發佈失敗。
codex_mod_modsupdated					模組更新
codex_mod_modsupdated_msg				使用中的某些模組有新的更新，點選確認套用\n新的內容，遊戲將會自動存檔。
codex_mod_translationcaption            這是語言包嗎？

codex_language                          語言
codex_language_englishdefault           英文 English (預設)
codex_language_default                  預設語言
codex_language_download                 下載
codex_language_failed_download          下載語言包失敗
codex_language_failed_download_msg      你所選擇的語言包下載失敗。
codex_language_searching_workshop       正在搜尋Steam工作坊
codex_language_community                這些語言包皆由社群創作與維護 - 感謝！

codex_save_confirm                      你確定要用目前監獄覆蓋 *X 嗎？

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message					要保留目前的畫質設定嗎？修改的設定將會在
graphicschange_time						秒後回復原本設定。
graphicschange_accept					接受
graphicschange_revert					回復

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title                    腳本除錯工具 (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title                   發現模組更動
modnotification_info                    此監獄當時存檔時有使用這些模組，\n我們強烈建議繼續遊戲前先下載並啟用這些模組。
modnotification_playnow                 進行遊戲
modnotification_active                  啟用
modnotification_inactive                停用
modnotification_new                     新
modnotification_unknown                 為之
modnotification_popup_title             模組更動
modnotification_popup_active            此模組目前啟用，按一下停用。
modnotification_popup_inactive          此模組目前停用，按一下啟用。
modnotification_popup_new_url           這是一個新模組，按一下在瀏覽器中開啟連結。
modnotification_popup_new_steam         這是一個新的Steam模組，按一下立刻訂閱並下載此模組。
modnotification_popup_unknown           我們無法辨識這個模組的來源，請自行尋找並安裝此模組。

# =============================================================================
# Biography
# =============================================================================

biography_search                        停止並搜尋
biography_selected                      已選擇
biography_prisoner_name                 *S, *F
biography_prisoner_number               囚犯 #*X
biography_prisoner_age                  年齡: *X
biography_prisoner_traits               特徵:
biography_prisoner_convicted            因 *C 定罪(抗辯 *P)
biography_prisoner_sentenced            判處 *X 年有期徒刑
biography_parole_now                    現在已可假釋
biography_parole_later                  *X 年後可假釋
biography_prisoner_served               已服刑 *X 年
biography_prisoner_priors               前科: 


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age							年齡:
rapsheet_category						類別:
rapsheet_traits							特徵:
rapsheet_conviction_text				*C - *Y 年
rapsheet_found_text						(抗辯: *P)
rapsheet_convictions					判定罪行
rapsheet_misconductstitle				近期違規
rapsheet_biography                      生平簡介
rapsheet_guilty							有罪
rapsheet_notguilty						無罪
rapsheet_served							已服刑
rapsheet_served_time					已服刑 *Y 年
rapsheet_time							*Y 年
rapsheet_bio							因 *A 判處有期徒刑 *Y 年。
rapsheet_bio_med						因多項罪名，包含 *A 和 *B ，判處有期徒刑 *Y 年。
rapsheet_bio_long						因多項罪名，包含 *A 、 *B 和 *C ，判處有期徒刑 *Y 年。
rapsheet_category_minsec				輕刑犯
rapsheet_category_normal				普通犯
rapsheet_category_maxsec				重刑犯
rapsheet_category_protected             保護收容
rapsheet_category_supermax              超重刑犯
rapsheet_category_deathrow              死刑犯
rapsheet_tab_biography                  生平簡介
rapsheet_tab_experience                 經歷
rapsheet_tab_grading                    評鑑
rapsheet_tab_character                  個性
rapsheet_punish                         懲處
rapsheet_recruit                        招募為秘密線人

rapsheet_timeinside                     已在你的監獄內 *X 天
rapsheet_timeinside_hours               已在你的監獄內 *X 小時
rapsheet_mood                           心情
rapsheet_activity                       活動
rapsheet_condition                      狀態
rapsheet_program                        教化課程
rapsheet_passchance                     通過機率
rapsheet_reformhistory                  教化課程紀錄

rapsheet_reform_success                 通過
rapsheet_reform_successcount            已通過 *X 次
rapsheet_reform_failed                  不及格
rapsheet_reform_failcount               不及格 *X 次

rapsheet_grading_punishment             懲處
rapsheet_grading_health                 醫療
rapsheet_grading_security               保安
rapsheet_grading_reform                 教化
rapsheet_grading_points                 *X 分: 
rapsheet_grading_penalties              -*X 分: 

rapsheet_scheduleexecution              安排行刑


punish_lockdown_6                       禁足 (6小時)
punish_lockdown_12                      禁足 (12小時)
punish_lockdown_24                      禁足 (24小時)
punish_solitary_6                       關禁閉 (6小時)
punish_solitary_12                      關禁閉 (12小時)
punish_solitary_24                      關禁閉 (24小時)
punish_solitary_perm                    關禁閉 (無限期)
punish_lockdown_perm                    禁足 (無限期)
punish_solitary                         關禁閉
punish_lockdown                         禁足
punish_none                             無
punish_timer                            *X小時 *Y分
punish_timer_minutes                    *X分
punish_active                           執行中
punish_permanent                        (無限期)
punish_end                              結束懲處

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none                  無
misconduct_reporttype_complaint             抱怨
misconduct_reporttype_destruction           破壞公物
misconduct_reporttype_escapeattempt         試圖逃獄
misconduct_reporttype_injuredprisoner       攻擊囚犯
misconduct_reporttype_injuredstaff          攻擊員工
misconduct_reporttype_seriousinjury         重傷
misconduct_reporttype_murder                謀殺
misconduct_reporttype_contrabandweapons     查獲武器
misconduct_reporttype_contrabandtools       查獲工具
misconduct_reporttype_contrabandnarcotics   查獲毒品
misconduct_reporttype_contrabandluxuries    查獲奢侈品
misconduct_reporttype_intoxicated           中毒
misconduct_title                            =[違規]=

misconduct_report_addiction                 *X 上癮
misconduct_report_recoving                  正在戒掉 *X
misconduct_report_alcoholic                 酒鬼
misconduct_report_recovingalcoholic         正在戒酒


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required                       你需要 *X 來準備這份報告。
research_requireunlock                  你需要研發「*X」來解鎖這份報告
research_approved                       核准
research_cost                           費用: *X
research_costperitem                    + *X / 件
research_timetounlock                   解鎖需時: *X 小時
research_movementpenalty                移動處罰: *X%
research_protectionbonus                保護: *X%
research_tap_to_authorise               點此授權

research_none                           無
research_warden                         典獄長
research_maintainance                   監獄維護
research_security                       監獄保安
research_legal                          法律諮詢
research_mentalhealth                   心理諮商
research_finance                        財務金融
research_landexpansion                  土地擴張
research_cctv                           監控管制
research_riotguards                     鎮暴警衛
research_health                         保健醫療
research_cleaning                       環境維護
research_groundskeeping                 戶外清潔
research_clone                          複製建設
research_deployment                     部署
research_patrols                        巡邏
research_dogs                           警犬
research_prisonlabour                   監獄勞動
research_education                      教育
research_contraband                     情報訓練
research_policy                         監獄政策
research_armoury                        軍械庫
research_bodyarmour                     防護裝甲
research_tazers                         電擊槍
research_tazersforeveryone              量產電擊槍
research_bankloans                      銀行貸款
research_lowertaxes1                    稅務減免
research_lowertaxes2                    海外避稅天堂
research_remoteaccess                   遠端操控
research_extragrant                     額外補助計畫
research_advancedmanagement             微觀管理
research_deathrow                       死刑犯
research_permanentpunishment            永久懲處
research_removemincellsize              小牢房
research_reduceexecutionliability       降低行刑責任
research_legalprep                      法律籌備
research_legaldefense                   法律辯護

researchtooltip_warden                  解鎖典獄長，以及整個監獄制度系統，在工具列的員工選單聘僱他。\n\n如同所有管理幹部一樣，他需要一個辦公室才能工作。
researchtooltip_security                解鎖保安隊長，可以在工具列的員工選單聘僱他。\n保安隊長讓你可以使用部署介面、提供即時的監獄危險等級報告、並預測可能發生的衝突麻煩。\n\n如同所有管理幹部一樣，他需要一個辦公室才能工作。
researchtooltip_maintenance             解鎖工頭，在工具列的員工選單聘僱他。\n\n如同所有管理幹部一樣，他需要一個辦公室才能工作。
researchtooltip_legal                   解鎖律師，可以在工具列的員工選單聘僱他。\n可以解開一系列的制度選項，提供你更大的權力管理監獄。\n\n如同所有管理幹部一樣，他需要一個辦公室才能工作。
researchtooltip_deployment              讓你可以指派警衛到監獄的特定區域內站崗。
researchtooltip_patrols                 讓你可以在監獄重要的地方 (例如圍牆) 自訂巡邏路線，並指派警衛進行巡邏。
researchtooltip_dogs                    解鎖帶犬警衛和警犬，\n他們擅長嗅出監獄內有異味的違禁品，並能探測逃獄地道。\n\n此外警犬奔跑速度極快，可以輕鬆的追上囚犯。
researchtooltip_cctv                    解鎖閉路攝影機和監視器，用這些設備來監視監獄內無人的區域。\n\n同時解鎖電話監聽系統，讓你監聽囚犯的通話內容並掌握重要情報資料。
researchtooltip_remoteaccess            解鎖高科技遠端控制與自動化門禁系統，\n監獄內的門可以由警衛透過門禁控制系統開關，或是由門禁定時器在每天特定時間開放。
researchtooltip_riotguards              (目前暫無用處)\n解鎖鎮報警衛，這些重武裝警衛可以更有效率的解決暴力事件。
researchtooltip_maintainance            解鎖工頭，提供其他進接制度例如監獄勞動，以及其他員工解鎖例如園丁。\n\n如同所有管理幹部一樣，他需要一個辦公室才能工作。
researchtooltip_clone                   解鎖工具列的複製建設工具，用這個工具可以快速的複製監獄內類似的建築單元，例如牢房。\n使用這項工具，用右鍵拖曳框選想要複製的建築，然後在目標地點按左鍵貼上。
researchtooltip_groundskeeping          解鎖園丁，他會負責監獄室外的整潔工作。
researchtooltip_cleaning                解鎖清潔工，他會負責監獄室內的整潔工作，並協助囚犯進行衣物換洗。
researchtooltip_health                  解鎖醫生、醫務室以及太平間，受傷的囚犯或員工會被送到醫務室，由醫生進行治療。
researchtooltip_MentalHealth            解鎖心理醫生，隨時提供實用的囚犯心理狀態報告。\n\n如同所有管理幹部一樣，他需要一個辦公室才能工作。
researchtooltip_finance                 解鎖會計師，提供監獄的財務金融報告。\n\n同時也讓每日花費可以超過收入，假設還有資金存款的話。\n\n如同所有管理幹部一樣，他需要一個辦公室才能工作。
researchtooltip_landexpansion           授權採購鄰近的土地，擴張監獄規模。
researchtooltip_prisonlabour            允許囚犯在監獄內進行工作勞動 (煮飯、洗衣等等) ，節省聘僱員工的開銷、賺取額外收入、並教囚犯一些新的生活技能。\n\n同時解鎖工作坊和洗衣間。
researchtooltip_education               解鎖囚犯教化課程計畫，外聘教師進行課程。
researchtooltip_contraband              訓練警衛讓他們更善於追蹤並回收各類違禁品，解鎖違禁品的供給與需求報告、違禁品報告介面 (顯示監獄內所有可能被偷違禁品的位置) 、以及追蹤所有違禁品被走私或偷竊的位置。\n\n同時解鎖秘密線人。\n\n同時解鎖幫派情報介面。
researchtooltip_policy                  解鎖政策報告，提供自訂各類違規的懲處方式與份量，以及自動搜身違規囚犯和他的牢房。\n\n同時允許控制營養政策，改變監獄內囚犯食物的菜色種類與份量。
researchtooltip_armoury                 解鎖軍械庫，並允許在監獄內部署武裝警衛。
researchtooltip_bodyarmour              提供所有警衛、武裝警衛、帶犬警衛穿戴護具，\n在打鬥的時候可以降低受到的傷害，但警衛移動速度也會降低。\n\n警衛必須到軍械庫才能領取護具，並且需要花費監獄資金購買才能領取。
researchtooltip_tazers                  允許武裝警衛攜帶電擊槍，一種強而有力的單發武器，大多數被擊中的目標會立刻失去意識。\n電擊槍每次擊發之後需要一小時充電才能再次擊發。\n\n警衛必須到軍械庫才能領取電擊槍，並且需要花費監獄資金購買才能領取。
researchtooltip_tazersforeveryone       擴大電擊槍計畫，讓一般警衛也能攜帶電擊槍。\n\n警衛必須到軍械庫才能領取電擊槍，並且需要花費監獄資金購買才能領取。
researchtooltip_bankloans               允許向銀行進行大量貸款，代價是銀行會載你每日資金流動中向你收取利息。\n如果你能按時正常還款，你的信用額度就會提升，而銀行就會讓你貸更高的款項。
researchtooltip_lowertaxes1             充分利用政府稅收優惠政策，將企業稅降低到 15% 。\n\n$10,000 的每日利潤將可節省 $1,500 的稅。
researchtooltip_lowertaxes2             你的會計師充分利用各項法規到極限，並將所有官方帳戶和相關事業轉移到稅率更優惠的海外國家，將企業稅降低到只有 1% 左右。\n\n$10,000 的每日利潤將可節省 $3,000 的稅。
researchtooltip_extragrant              將同時可接受的補助計畫數量從兩項提升到為三項。
researchtooltip_advancedmanagement      提供監獄微觀管理工具，讓你能細部調整相關需求。\n\n解鎖食物後勤，允許明確指定哪間廚房為哪間餐廳供餐，以及哪些囚犯在哪些餐廳用餐。\n此外，洗衣後勤也能讓你指派哪間洗衣間負責哪些牢房的衣物清洗。\n\n同時解鎖部署排程系統，讓你自訂每天不同時間的警衛配置。\n\n解鎖教化課程計畫排程，允許手動安排每日上課時間。
researchtooltip_permanentpunishment     在監獄裡有時候被禁足不算什麼，\n你的律師可以提出適當的報告，讓你把囚犯永久關在牢房裡。
researchtooltip_removemincellsize       監獄內的牢房需要有一定的空間才能符合法律規定，\n但想像一下如果沒有這些限制，你可以多蓋多少牢房！\n律師可以幫你移除基本牢房的最小尺寸限制。
researchtooltip_reduceexecutionliability 透過律師的遊說，可以有效的降低囚犯上訴的機會，讓你盡快開始行刑。
researchtooltip_legalprep               每個監獄常常都會碰到很多問題，而有些問題會帶來嚴重的法律責任，\n你的律師會開始準備相關的法律文件讓你擺脫麻煩，但這些文件需要事前籌備。
researchtooltip_legaldefense            你陷入很糟的狀況 - 有大事出包了而你要負責，如果你無法親自解決，你的律師或許可以幫你。完成這項制度開發，可以立刻移除目前可能讓你被開除的警告訊息。

research_legaldefense_adviser1          看來你的律師準備了一些文件幫你處理了這些麻煩，我想這代表我暫時還不能炒你魷魚。
research_legaldefense_adviser2          快，趕快把你的監獄整頓好，這些小把戲不是每次都會成功，無法永遠保護你。

research_missingadministrator           需求:



# =============================================================================
# Room Requirements
# =============================================================================

roomrequirement_required                需求:
roomrequirement_recommended             推薦: 
roomrequirement_minimumsize             最小尺寸 *W x *H
roomrequirement_minimumsize_short	尺寸 *W x *H
roomrequirement_indoor                  室內
roomrequirement_outdoor                 室外
roomrequirement_solidground             堅固的地面
roomrequirement_secure                  安全 (至少在一扇門後面)
roomrequirement_secure_short		安全
roomrequirement_enclosed                封閉 (空間需要用牆和門圍起來)
roomrequirement_enclosed_short		封閉
requirement_entrance                    缺乏出入口
roomrequirement_title                   =[房間需求]=
roomrequirement_passed                  [合格] 
roomrequirement_failed                  [不合] 
roomrequirement_adjacentobject          相鄰房間:

# =============================================================================
# Unlocks
# =============================================================================

unlock_title                            已解鎖

unlock_special_electricity              電力系統
unlock_special_food                     餐點準備
unlock_special_officersafety            幹部安全
unlock_special_misbehavior              不當行為
unlock_special_accounting               會計
unlock_special_gangs                    幫派

unlock_electricity_caption              允許建造變電站和電纜線，能供應所有需要電力的裝置。


# =============================================================================
# Advisers
# =============================================================================

click_to_continue                       點一下繼續...
incoming_call                           來電...

adviser_name_none                       無
adviser_name_ceo                        執行長
adviser_name_warden                     典獄長
adviser_name_governer                   督察
adviser_name_chief                      保安隊長
adviser_name_doctor                     醫生
adviser_name_kingpin                    金平
adviser_name_edwardshooter              愛德華
adviser_name_edwardsinner               愛德華
adviser_name_edwardinmate               愛德華
adviser_name_edwardswife                愛德華的老婆 蘇珊
adviser_name_priest                     牧師
adviser_name_newsreader                 CDNC新聞網


# =============================================================================
# Valuation, Reports etc
# =============================================================================

report_staff                            員工
report_prisoners                        囚犯
report_jobs                             工作
report_needs                            需求
report_threats                          威脅
report_regime                           日程表
report_policy                           政策
report_grants                           補助計畫
report_finance                          經濟
report_valuation                        評估
report_contraband                       違禁品
report_programs                         教化課程
report_schedule                         排程
report_intake                           收容

report_grants_bankloan                  銀行貸款
report_grants_bankloan_text             你可以向銀行進行大量貸款，代價是銀行會載你每日資金流動中向你收取利息。\n\n如果你能按時正常還款，你的信用額度就會提升，而銀行就會讓你貸更高的款項。\n但是如果你還款不正常，你的信用額度會降低，銀行就會拒絕更高額的貸款。\n\n註: 單靠繳交每日收取的利息無法償還所有貸款。
report_grants_max1                      你目前最多只能接受一項補助計畫。\n可透過你的會計師提高這個限制。
report_grants_max2                      你目前最多只能接受兩項補助計畫。\n可透過你的會計師提高這個限制。
report_grants_max3                      你最多只能接受三項補助計畫。
report_grants_bankloan_amount           目前銀行貸款: *X
report_grants_bankloan_interest         利息: 每日 *X
report_grants_bankloan_max              最高貸款額度: *X
report_grants_creditrating              你的信用額度: *X
report_grants_inprogress_tt             (進行中)
report_grants_completed_tt              (已完成)
report_grants_locked_tt                 (未解鎖)
report_grants_advancepayment            *X 階段獎勵
report_grants_completionbonus           *X 完成獎勵
report_grants_objectives                [計畫目標]
report_grants_prereqs                   [前提需求條件]
report_grants_completed                 已完成
report_grants_locked                    未解鎖
report_grants_inprogress                進行中
report_grants_hidden                    (*X 項已隱藏)
report_grants_taptoaccept               點選接受
report_grants_cancelfee                 取消費用: *X

report_staff_title                      員工人數: *X
report_prisoners_title                  囚犯人數: *X
report_staff_group_builders             工人
report_staff_group_guards               警衛
report_staff_group_staff                員工
report_staff_group_administrators       幹部
report_staff_group_prisoners            囚犯
report_staff_group_prisoners_high       重刑犯
report_staff_group_prisoners_normal     普通犯
report_staff_group_prisoners_low        輕刑犯
report_staff_group_prisoners_protected  保護收容
report_staff_group_prisoners_supermax   超重刑犯
report_staff_group_prisoners_deathrow   死刑犯

report_staff_fire                       開除

report_intake_title                     囚犯收容
report_intake_catheader_cat             分類
report_intake_catheader_pay             費用
report_intake_catheader_available       剩餘名額
report_intake_catheader_amount          收容比例
report_intake_next_header               下次新進 : *X 人
report_intake_cat_minsec                輕刑犯
report_intake_cat_normal                普通犯
report_intake_cat_maxsec                重刑犯
report_intake_cat_deathrow              死刑犯
report_intake_slider_minsec             調整輕邢犯收容比例
report_intake_slider_normal             調整普通犯收容比例
report_intake_slider_maxsec             調整重刑犯收容比例
report_intake_slider_deathrow           調整死刑犯收容比例
report_intake_closed                    關閉
report_intake_locked                    鎖定
report_intakemaxperdaydesc              每日新進人數
report_intakemaxperdaydesc_tooltip      下次收容希望新進的囚犯人數
report_intakemaxperdaydecr              <<
report_intakemaxperdayincr              >>
report_intakemaxperdaynone              無
report_intakemaxperdayall               全部
reports_intakedelivernow                立刻收容
report_intakepayment                    費用
report_intakeall                        全部
report_intake_list_tooltip_title        收容分類
report_intake_list_tooltip              這裡是所有你可以收容的類型列表。\n\n剩餘名額顯示每個分類還有多少犯人等待被收容，這個數字會隨著比例調整增長。\n\n調整比例可以改變不同分類下次要收容的人數。
report_intake_list_tooltip_dr           \n\n監獄必需要先有特殊設計的死刑犯牢房，才能開始收容死刑犯，死刑犯的收容速度也比一般囚犯來的慢，且死刑犯的剩餘名額也不一定會每日成長。死刑犯的人數是少之又少。
report_intake_buttons_tooltip_title     下次新進
report_intake_buttons_tooltip           你可以在這裡調整下次新進囚犯的人數。\n\n選擇「無」會停止收容新囚犯，而選擇「全部」則下次就會收容所有剩餘名額囚犯。\n\n每個類別的人數由上方比例調整。
report_intake_overview_tooltip_title    收容總覽
report_intake_overview_tooltip          這裡可以檢視你下次的囚犯收容概況，以及將會獲得的費用。\n新進囚犯的數量、類別可以在上面調整設定，而獲得費用則是按照每個類別的人數而定。

valuation_categoryprison                監獄價值評估
valuation_construction                  磚頭和水泥
valuation_objects                       設備與裝置
valuation_stock                         倉儲與材料
valuation_staff                         員工
valuation_startupgrant                  起始資金補助
valuation_capacity                      監獄收容量
valuation_cash                          目前資金
valuation_debt                          銀行貸款
valuation_categoryperformance           監獄安全與保安措施
valuation_bonustimewithoutincident      [加分] 零事故持續時間
valuation_finedeath                     [扣分] 過去24小時內死亡
valuation_fineescape                    [扣分] 過去24小時內逃獄
valuation_total                         總計
valuation_sell                          出售
valuation_sellprison                    出售監獄
valuation_sell_tooltip                  出售目前的監獄可以賺取利潤，並在下一次新建監獄時獲得更高的起始資金。\n\n出售後你仍然可以繼續玩這座監獄，但是每座監獄只能出售一次。拍賣所得將全數轉移到下一座新監獄。
valuation_sold                          這座監獄已經賣出: *X
valuation_donotown                      這監獄現在不是你的，你無法出售它。
valuation_sellsome                      出售股份
valuation_buysome                       買回股份
valuation_shares                        購買與出售股份
valuation_shares_tooltip                你最多可以出售 50% 的股份給外面的投資者，出售後會立刻收到現金，而投資者會持有部分監獄擁有權，\n當你之後要出售監獄時，他們會拿走他們所持有比例的售價金額。\n\n例如你出售了 30% 的監獄股份，最後出售監獄時你只能收到 70% 的出售金額。你隨時都可以買回股份 - 但買回的價格會比當初出售的時候還要高。
valuation_ownership                     你擁有 *X% 的監獄股份
valuation_saleprice                     出售價格: *X
valuation_title                         =[評估]=
valuation_totalprisonvalue              監獄總價值: *X
valuation_subcashreserves               扣除現金儲備金: *X
valuation_tenpercentprice               10% 股份的價格: *X
valuation_profit                        你的獲利 : *X
valuation_tap_to_authorise              點選授權

salecondition_title                     拍賣條件
salecondition_cannotsell                在下列條件達成前無法出售你的監獄。
salecondition_minimumvalue              監獄價值至少達 $50,000
salecondition_cashflow                  每日資金流動為正的
salecondition_accountant                聘僱會計師
salecondition_minprisoners              至少 20 名囚犯
salecondition_recentdeaths              最近沒有死亡
salecondition_recentescapes             最近沒有逃獄
salecondition_passed                    [合格] 
salecondition_failed                    [不合] 

policy_title                            違規事件
policy_search                           - 搜查 -
policy_prisoner                         搜身
policy_cell                             牢房
policy_punishment                       懲處規則
policy_quantity                         時間
policy_punishmenttime                   *X 小時
policy_mealcost                         $*X / 日
policy_totalmealcost                    (總計: $*X / 日)

job_construct                           建造 *X
job_installobject                       安裝 *X
job_installobjectinroom                 在 *Y 內安裝 *X
job_moveobject                          移動 *X
job_moveobjecttoroom                    移動 *X 到 *Y
job_loadobjectinto                      填裝 *X 到 *Y
job_storeobject                         儲存 *X 到 *Y
job_dismantleobject                     拆除 *X
job_dumpobject                          丟棄 *X
job_repairobject                        維修 *X
job_operateequipment                    操作 *X
job_escortprisoner                      移送囚犯到 *X
job_punishprisoner                      處理囚犯
job_searchobject                        搜查 *X 
job_searchentity                        搜身
job_searchingentity						搜身中
job_searchcell                          搜查牢房
job_searchcellblock                     搜查牢房區
job_improvecellindoor                   清理室內區域
job_improvecelloutdoor                  維護室外環境
job_opendoor                            開啟門鎖中
job_giveuniform                         發放囚犯制服
job_failurecount                        已失敗 *X 次
job_feedprisoner                        餵食囚犯
job_healprisoner                        治療囚犯
job_delivermail                         送信
       
finances_title                          財務金融
finances_income                         收入
finances_expenses                       支出
finances_total                          總計
finances_profit                         淨利
finances_timewithoutincident            (*X 日)
finances_dailyincome                    *X / 日

finances_category_federalgrant          聯邦補助金
finances_category_minsecprisoners       輕刑犯補助金
finances_category_medsecprisoners       普通犯補助金
finances_category_maxsecprisoners       重刑犯補助金
finances_category_prisoners             囚犯補助金
finances_category_workmen               工人薪資
finances_category_guards                警衛薪資
finances_category_admin                 幹部薪資
finances_category_staff                 員工薪資
